# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0) ! 198.976 us  |                  } /* timekeeping_advance */
 0)               |                    pl011_start_tx() {
 0)               |                      pl011_tx_chars() {
 0)   8.176 us    |                        pl011_stop_tx();
 0) + 19.312 us   |                      }
 0) + 28.992 us   |                    }
 0) + 39.136 us   |                  }
 0)   5.216 us    |                  _raw_spin_unlock_irqrestore();
 0) + 69.472 us   |                }
 0) + 79.152 us   |              }
 0)   5.152 us    |              kill_fasync();
 0)               |              __wake_up() {
 0)               |                __wake_up_common_lock() {
 0)   4.656 us    |                  _raw_spin_lock_irqsave();
 0)               |                  __wake_up_common() {
 0)               |                    pollwake() {
 0)               |                      default_wake_function() {
 0)               |                        try_to_wake_up() {
 0)   4.480 us    |                          _raw_spin_lock_irqsave();
 0)               |                          select_task_rq_fair() {
 0)   4.432 us    |                            __rcu_read_lock();
 0)   5.088 us    |                            available_idle_cpu();
 0)   6.880 us    |                            task_h_load();
 0)               |                            select_idle_sibling() {
 0)   5.072 us    |                              available_idle_cpu();
 0) + 14.608 us   |                            }
 0)   5.136 us    |                            __rcu_read_unlock();
 0) + 68.384 us   |                          }
 0)   5.536 us    |                          _raw_spin_lock();
 0)               |                          update_rq_clock.part.0() {
 0)   6.880 us    |                            update_irq_load_avg();
 0) + 18.624 us   |                          }
 0)               |                          activate_task() {
 0)               |                            enqueue_task_fair() {
 0)               |                              enqueue_entity() {
 0)   4.608 us    |                                update_curr();
 0)   6.384 us    |                                __update_load_avg_se();
 0) + 83.056 us   |                                __update_load_avg_cfs_rq();
 0)   5.808 us    |                                update_cfs_group();
 0) + 18.752 us   |                                account_entity_enqueue();
 0) ! 154.512 us  |                              }
 0)               |                              enqueue_entity() {
 0)   4.432 us    |                                update_curr();
 0)   5.600 us    |                                __update_load_avg_se();
 0)   5.296 us    |                                __update_load_avg_cfs_rq();
 0)               |                                update_cfs_group() {
 0)   5.296 us    |                                  reweight_entity();
 0) + 15.168 us   |                                }
 0)   4.736 us    |                                account_entity_enqueue();
 0) + 63.904 us   |                              }
 0) ! 233.040 us  |                            }
 0) ! 242.528 us  |                          }
 0)               |                          ttwu_do_wakeup.constprop.0() {
 0)               |                            check_preempt_curr() {
 0)               |                              resched_curr() {
 0)               |                                smp_send_reschedule() {
 0)               |                                  smp_cross_call() {
 0) + 45.776 us   |                                    gic_raise_softirq();
 0) + 58.592 us   |                                  }
 0) + 67.680 us   |                                }
 0) + 77.904 us   |                              }
 0) + 87.856 us   |                            }
 0) ! 102.112 us  |                          }
 0)   6.720 us    |                          _raw_spin_unlock();
 0)   5.232 us    |                          _raw_spin_unlock_irqrestore();
 0) ! 498.304 us  |                        }
 0) ! 563.408 us  |                      }
 0) ! 603.072 us  |                    }
 0) ! 614.144 us  |                  }
 0)   7.072 us    |                  _raw_spin_unlock_irqrestore();
 0) ! 645.776 us  |                }
 0) ! 655.392 us  |              }
 0) + 15.424 us   |              up_read();
 0) ! 844.784 us  |            }
 0) ! 857.408 us  |          }
 0) ! 870.240 us  |        }
 0)               |        tty_ldisc_deref() {
 0)   6.704 us    |          ldsem_up_read();
 0) + 17.312 us   |        }
 0) ! 924.096 us  |      }
 0)   6.208 us    |      mutex_unlock();
 0) ! 959.024 us  |    }
 0)   5.408 us    |    _raw_spin_lock_irq();
 0)   7.328 us    |    pwq_dec_nr_in_flight();
 0) # 1005.616 us |  }
 0)   6.672 us    |  worker_enter_idle();
 0)   5.488 us    |  _raw_spin_unlock_irq();
 0)               |  schedule() {
 0)               |    wq_worker_sleeping() {
 0)   7.664 us    |      kthread_data();
 0) + 18.864 us   |    }
 0)               |    rcu_note_context_switch() {
 0)   4.720 us    |      rcu_preempt_deferred_qs();
 0) + 15.632 us   |    }
 0)   5.648 us    |    _raw_spin_lock();
 0)               |    update_rq_clock.part.0() {
 0)   6.144 us    |      update_irq_load_avg();
 0) + 17.088 us   |    }
 0)               |    deactivate_task() {
 0)               |      dequeue_task_fair() {
 0)               |        dequeue_entity() {
 0)               |          update_curr() {
 0)   5.392 us    |            update_min_vruntime();
 0)               |            cpuacct_charge() {
 0)   4.512 us    |              __rcu_read_lock();
 0)   5.120 us    |              __rcu_read_unlock();
 0) + 24.752 us   |            }
 0)   4.752 us    |            __rcu_read_lock();
 0)   4.848 us    |            __rcu_read_unlock();
 0) + 65.872 us   |          }
 0)   6.256 us    |          __update_load_avg_se();
 0)   6.752 us    |          __update_load_avg_cfs_rq();
 0)   7.936 us    |          clear_buddies();
 0)   5.808 us    |          account_entity_dequeue();
 0)   4.832 us    |          update_cfs_group();
 0)   5.136 us    |          update_min_vruntime();
 0) ! 143.200 us  |        }
 0) ! 168.528 us  |      }
 0) ! 188.096 us  |    }
 0)               |    pick_next_task_fair() {
 0)               |      newidle_balance() {
 0)   4.544 us    |        __rcu_read_lock();
 0) + 26.880 us   |        __msecs_to_jiffies();
 0)   5.664 us    |        __rcu_read_unlock();
 0)   5.232 us    |        _raw_spin_unlock();
 0)               |        _nohz_idle_balance() {
 0)   5.088 us    |          idle_cpu();
 0) + 17.648 us   |        }
 0)   5.248 us    |        _raw_spin_lock();
 0) ! 106.336 us  |      }
 0) ! 117.024 us  |    }
 0)               |    pick_next_task_idle() {
 0)               |      put_prev_task_fair() {
 0)   4.480 us    |        check_cfs_rq_runtime();
 0) + 18.128 us   |      }
 0) + 28.928 us   |    }
 0)               |    fpsimd_thread_switch() {
 0)               |      fpsimd_save() {
 0)   4.624 us    |        have_cpu_fpsimd_context();
 0) + 13.888 us   |      }
 0) + 24.496 us   |    }
 0)   5.056 us    |    hw_breakpoint_thread_switch();
 0)   4.768 us    |    uao_thread_switch();
 ------------------------------------------
 0)  kworker-186   =>    <idle>-0   
 ------------------------------------------

 0)               |      finish_task_switch() {
 0)   5.488 us    |        _raw_spin_unlock_irq();
 0) + 16.512 us   |      }
 0) # 1836.480 us |    } /* schedule_idle */
 0) * 40924.80 us |  } /* do_idle */
 0)               |  do_idle() {
 0)               |    tick_nohz_idle_enter() {
 0)               |      ktime_get() {
 0)   5.536 us    |        arch_counter_read();
 0) + 15.888 us   |      }
 0) + 27.232 us   |    }
 0)   5.440 us    |    arch_cpu_idle_enter();
 0)   5.056 us    |    tick_check_broadcast_expired();
 0)   5.264 us    |    cpuidle_get_cpu_driver();
 0)   5.552 us    |    cpuidle_not_available();
 0)               |    tick_nohz_idle_stop_tick() {
 0)   5.280 us    |      can_stop_idle_tick();
 0)               |      tick_nohz_next_event() {
 0)   5.024 us    |        rcu_needs_cpu();
 0)               |        get_next_timer_interrupt() {
 0)   5.088 us    |          _raw_spin_lock();
 0)   8.560 us    |          __next_timer_interrupt();
 0)   5.024 us    |          _raw_spin_unlock();
 0)               |          hrtimer_get_next_event() {
 0)   5.456 us    |            _raw_spin_lock_irqsave();
 0)   7.008 us    |            _raw_spin_unlock_irqrestore();
 0) + 29.712 us   |          }
 0) + 74.576 us   |        }
 0)   5.168 us    |        timekeeping_max_deferment();
 0) ! 107.104 us  |      }
 0)   5.008 us    |      calc_load_nohz_start();
 0)   5.536 us    |      quiet_vmstat();
 0)               |      hrtimer_start_range_ns() {
 0)   4.960 us    |        _raw_spin_lock_irqsave();
 0)               |        __remove_hrtimer() {
 0)               |          hrtimer_force_reprogram() {
 0)   4.992 us    |            __hrtimer_next_event_base();
 0)   6.160 us    |            __hrtimer_next_event_base();
 0)               |            tick_program_event() {
 0)               |              clockevents_program_event() {
 0)               |                ktime_get() {
 0)   5.104 us    |                  arch_counter_read();
 0) + 16.208 us   |                }
 0) + 11.296 us   |                arch_timer_set_next_event_virt();
 0) + 42.064 us   |              }
 0) + 51.856 us   |            }
 0) + 81.984 us   |          }
 0) + 93.696 us   |        }
 0)   6.272 us    |        enqueue_hrtimer();
 0)               |        hrtimer_reprogram() {
 0)               |          tick_program_event() {
 0)               |            clockevents_program_event() {
 0)               |              ktime_get() {
 0)   5.888 us    |                arch_counter_read();
 0) + 15.264 us   |              }
 0)   9.120 us    |              arch_timer_set_next_event_virt();
 0) + 51.936 us   |            }
 0) + 61.328 us   |          }
 0) + 71.408 us   |        }
 0)   5.328 us    |        _raw_spin_unlock_irqrestore();
 0) ! 211.856 us  |      }
 0)   5.904 us    |      nohz_balance_enter_idle();
 0) ! 378.624 us  |    }
 0)               |    rcu_idle_enter() {
 0)   4.528 us    |      rcu_preempt_deferred_qs();
 0) + 16.480 us   |    }
 0)               |    arch_cpu_idle() {
